Alpha_Node,Total_Support
WNT6,-866
WNT7A,-866
WNT7B,-866
WNT8A,-866
WNT8B,-866
WNT9A,-866
WNT9B,-866
GNAI1,-865
GNAI2,-865
GNAI3,-865
GNAO1,-865
HDAC1,-863
HDAC4,-857
MEF2A,-866
MEF2B,-866
MEF2C,-866
MEF2D,-866
HDAC5,-858
HES1,-801
ERBB2,-866
NFKB2,-866
HES5,-802
HEY1,-802
HEY2,-802
HEYL,-802
HIF1A,-866
PFKP,-866
PFKM,-866
PGAM1,-866
PGAM2,-866
PGAM4,-866
PKM,-865
HLA-A,-866
HLA-B,-865
HLA-C,-865
HLA-E,-865
HLA-F,-865
HLA-G,-865
HNF1A,-855
FOXA3,-866
HNF4A,-866
HNF4G,-866
PKLR,-866
SLC2A2,-865
HSF1,-866
IDO1,-866
IDO2,-866
IFNGR1,-864
MARCKSL1,-865
IFNGR2,-864
IL18R1,-865
IL18RAP,-865
IL6R,-866
SOCS3,-865
INSR,-864
PNPLA2,-866
IRF1,-866
IRF3,-832
CD80,-865
CD86,-866
CXCL11,-866
CXCL9,-866
IFNA1,-866
IFNA10,-866
IFNA13,-866
IFNA14,-866
IFNA16,-866
IFNA17,-866
IFNA2,-866
IFNA21,-866
IFNA4,-866
IFNA5,-866
IFNA6,-866
IFNA7,-866
IFNA8,-866
IFNE,-866
IFNK,-866
IFNW1,-866
IFIT1,-866
IFIT1B,-866
IL15,-866
APOBEC3A,-866
APOBEC3A_B,-866
APOBEC3B,-866
APOBEC3C,-866
APOBEC3D,-866
APOBEC3F,-866
APOBEC3G,-866
APOBEC3H,-866
BST2,-866
SAMHD1,-866
TRIM5,-865
IRF5,-868
IRF7,-865
IRF8,-866
IRF9,-848
IL17D,-865
EIF2AK1,-866
EIF2AK2,-866
EIF2AK3,-866
EIF2AK4,-866
MX1,-866
OAS1,-866
OAS2,-866
OAS3,-866
RSAD2,-866
ADAR,-866
PML,-802
ISG15,-866
JAG1,-866
AGER,-866
F3,-866
THBD,-866
MMP7,-866
CD44,-866
CD58,-866
ENTPD1,-866
ENTPD3,-866
ENTPD8,-866
FCER2,-866
ITGAL,-866
TNFAIP3,-866
VIM,-866
JUNB,-867
JUND,-863
BGLAP,-866
LRP5,-866
LRP6,-866
JUP,-798
KDM3A,-865
KDM3B,-865
KIR2DL1,-865
KIR2DL2,-865
KIR2DL3,-865
KIR2DL4,-865
KIR2DL5A,-866
NOS1,-865
ASS1,-866
GSTA1,-866
GSTA2,-866
GSTA3,-866
GSTA4,-866
GSTA5,-866
GSTM1,-866
GSTM2,-866
GSTM3,-866
GSTM4,-866
GSTM5,-866
GSTO1,-866
GSTO2,-866
GSTP1,-866
GSTT1,-866
GSTT2,-866
GSTT2B,-866
MGST1,-866
MGST2,-866
MGST3,-866
NPPC,-866
NQO1,-866
PLAT,-866
SQSTM1,-866
TXN,-866
TXN2,-866
KLF4,-866
SOX2,-866
KMT2A,-865
KMT2D,-865
LEF1,-798
BIRC5,-865
AXIN1,-866
AXIN2,-866
NKD1,-866
SNAI2,-866
MAFA,-865
MAFB,-865
MAML1,-864
HES2,-865
HES3,-866
HES4,-866
HES6,-866
HES7,-866
MAML2,-863
MAML3,-863
MAPK1,-862
IL18,-865
PLAU,-866
PLAUR,-866
JMJD7-PLA2G4B,-866
PLA2G4A,-866
PLA2G4B,-866
PLA2G4C,-866
PLA2G4D,-866
PLA2G4E,-866
PLA2G4F,-865
MAPK10,-868
MAPK11,-868
IRF4,-865
MAPK12,-867
MAPK13,-867
MAPK14,-867
MAPK3,-861
MAPK7,-863
MAPK8,-867
MAPK9,-867
MAX,-865
CDK6,-866
CKS1B,-866
CKS2,-865
MDM2,-866
SOST,-865
MEN1,-866
DCT,-866
